date,constant,rolling_20d,rolling_60d,ewma_0.94,garch,egarch,gjr
2022-01-27,,,,,,,
2022-01-28,,,,,,,
2022-01-29,,,,,,,
2022-01-30,,,,,,,
2022-01-31,,,,,,,
2022-02-01,,,,,,,
2022-02-02,,,,,,,
2022-02-03,,,,,,,
2022-02-04,,,,,,,
2022-02-05,,,,,,,
2022-02-06,,,,,,,
2022-02-07,,,,,,,
2022-02-08,,,,,,,
2022-02-09,,,,,,,
2022-02-10,,,,,,,
2022-02-11,,,,,,,
2022-02-12,,,,,,,
2022-02-13,,,,,,,
2022-02-14,,,,,,,
2022-02-15,,,,,,,
2022-02-16,,,,,,,
2022-02-17,,,,,,,
2022-02-18,,,,,,,
2022-02-19,,,,,,,
2022-02-20,,,,,,,
2022-02-21,,,,,,,
2022-02-22,,,,,,,
2022-02-23,,,,,,,
2022-02-24,,,,,,,
2022-02-25,,,,,,,
2022-02-26,,,,,,,
2022-02-27,,,,,,,
2022-02-28,,,,,,,
2022-03-01,,,,,,,
2022-03-02,,,,,,,
2022-03-03,,,,,,,
2022-03-04,,,,,,,
2022-03-05,,,,,,,
2022-03-06,,,,,,,
2022-03-07,,,,,,,
2022-03-08,,,,,,,
2022-03-09,,,,,,,
2022-03-10,,,,,,,
2022-03-11,,,,,,,
2022-03-12,,,,,,,
2022-03-13,,,,,,,
2022-03-14,,,,,,,
2022-03-15,,,,,,,
2022-03-16,,,,,,,
2022-03-17,,,,,,,
2022-03-18,,,,,,,
2022-03-19,,,,,,,
2022-03-20,,,,,,,
2022-03-21,,,,,,,
2022-03-22,,,,,,,
2022-03-23,,,,,,,
2022-03-24,,,,,,,
2022-03-25,,,,,,,
2022-03-26,,,,,,,
2022-03-27,,,,,,,
2022-03-28,,,,,,,
2022-03-29,,,,,,,
2022-03-30,,,,,,,
2022-03-31,,,,,,,
2022-04-01,,,,,,,
2022-04-02,,,,,,,
2022-04-03,,,,,,,
2022-04-04,,,,,,,
2022-04-05,,,,,,,
2022-04-06,,,,,,,
2022-04-07,,,,,,,
2022-04-08,,,,,,,
2022-04-09,,,,,,,
2022-04-10,,,,,,,
2022-04-11,,,,,,,
2022-04-12,,,,,,,
2022-04-13,,,,,,,
2022-04-14,,,,,,,
2022-04-15,,,,,,,
2022-04-16,,,,,,,
2022-04-17,,,,,,,
2022-04-18,,,,,,,
2022-04-19,,,,,,,
2022-04-20,,,,,,,
2022-04-21,,,,,,,
2022-04-22,,,,,,,
2022-04-23,,,,,,,
2022-04-24,,,,,,,
2022-04-25,,,,,,,
2022-04-26,,,,,,,
2022-04-27,,,,,,,
2022-04-28,,,,,,,
2022-04-29,,,,,,,
2022-04-30,,,,,,,
2022-05-01,,,,,,,
2022-05-02,,,,,,,
2022-05-03,,,,,,,
2022-05-04,,,,,,,
2022-05-05,,,,,,,
2022-05-06,,,,,,,
2022-05-07,,,,,,,
2022-05-08,,,,,,,
2022-05-09,,,,,,,
2022-05-10,,,,,,,
2022-05-11,,,,,,,
2022-05-12,,,,,,,
2022-05-13,,,,,,,
2022-05-14,,,,,,,
2022-05-15,,,,,,,
2022-05-16,,,,,,,
2022-05-17,,,,,,,
2022-05-18,,,,,,,
2022-05-19,,,,,,,
2022-05-20,,,,,,,
2022-05-21,,,,,,,
2022-05-22,,,,,,,
2022-05-23,,,,,,,
2022-05-24,,,,,,,
2022-05-25,,,,,,,
2022-05-26,,,,,,,
2022-05-27,,,,,,,
2022-05-28,,,,,,,
2022-05-29,,,,,,,
2022-05-30,,,,,,,
2022-05-31,,,,,,,
2022-06-01,,,,,,,
2022-06-02,,,,,,,
2022-06-03,,,,,,,
2022-06-04,,,,,,,
2022-06-05,,,,,,,
2022-06-06,,,,,,,
2022-06-07,,,,,,,
2022-06-08,,,,,,,
2022-06-09,,,,,,,
2022-06-10,,,,,,,
2022-06-11,,,,,,,
2022-06-12,,,,,,,
2022-06-13,,,,,,,
2022-06-14,,,,,,,
2022-06-15,,,,,,,
2022-06-16,,,,,,,
2022-06-17,,,,,,,
2022-06-18,,,,,,,
2022-06-19,,,,,,,
2022-06-20,,,,,,,
2022-06-21,,,,,,,
2022-06-22,,,,,,,
2022-06-23,,,,,,,
2022-06-24,,,,,,,
2022-06-25,,,,,,,
2022-06-26,,,,,,,
2022-06-27,,,,,,,
2022-06-28,,,,,,,
2022-06-29,,,,,,,
2022-06-30,,,,,,,
2022-07-01,,,,,,,
2022-07-02,,,,,,,
2022-07-03,,,,,,,
2022-07-04,,,,,,,
2022-07-05,,,,,,,
2022-07-06,,,,,,,
2022-07-07,,,,,,,
2022-07-08,,,,,,,
2022-07-09,,,,,,,
2022-07-10,,,,,,,
2022-07-11,,,,,,,
2022-07-12,,,,,,,
2022-07-13,,,,,,,
2022-07-14,,,,,,,
2022-07-15,,,,,,,
2022-07-16,,,,,,,
2022-07-17,,,,,,,
2022-07-18,,,,,,,
2022-07-19,,,,,,,
2022-07-20,,,,,,,
2022-07-21,,,,,,,
2022-07-22,,,,,,,
2022-07-23,,,,,,,
2022-07-24,,,,,,,
2022-07-25,,,,,,,
2022-07-26,,,,,,,
2022-07-27,,,,,,,
2022-07-28,,,,,,,
2022-07-29,,,,,,,
2022-07-30,,,,,,,
2022-07-31,,,,,,,
2022-08-01,,,,,,,
2022-08-02,,,,,,,
2022-08-03,,,,,,,
2022-08-04,,,,,,,
2022-08-05,,,,,,,
2022-08-06,,,,,,,
2022-08-07,,,,,,,
2022-08-08,,,,,,,
2022-08-09,,,,,,,
2022-08-10,,,,,,,
2022-08-11,,,,,,,
2022-08-12,,,,,,,
2022-08-13,,,,,,,
2022-08-14,,,,,,,
2022-08-15,,,,,,,
2022-08-16,,,,,,,
2022-08-17,,,,,,,
2022-08-18,,,,,,,
2022-08-19,,,,,,,
2022-08-20,,,,,,,
2022-08-21,,,,,,,
2022-08-22,,,,,,,
2022-08-23,,,,,,,
2022-08-24,,,,,,,
2022-08-25,,,,,,,
2022-08-26,,,,,,,
2022-08-27,,,,,,,
2022-08-28,,,,,,,
2022-08-29,,,,,,,
2022-08-30,,,,,,,
2022-08-31,,,,,,,
2022-09-01,,,,,,,
2022-09-02,,,,,,,
2022-09-03,,,,,,,
2022-09-04,,,,,,,
2022-09-05,,,,,,,
2022-09-06,,,,,,,
2022-09-07,,,,,,,
2022-09-08,,,,,,,
2022-09-09,,,,,,,
2022-09-10,,,,,,,
2022-09-11,,,,,,,
2022-09-12,,,,,,,
2022-09-13,,,,,,,
2022-09-14,,,,,,,
2022-09-15,,,,,,,
2022-09-16,,,,,,,
2022-09-17,,,,,,,
2022-09-18,,,,,,,
2022-09-19,,,,,,,
2022-09-20,,,,,,,
2022-09-21,,,,,,,
2022-09-22,,,,,,,
2022-09-23,,,,,,,
2022-09-24,,,,,,,
2022-09-25,,,,,,,
2022-09-26,,,,,,,
2022-09-27,,,,,,,
2022-09-28,,,,,,,
2022-09-29,,,,,,,
2022-09-30,,,,,,,
2022-10-01,,,,,,,
2022-10-02,,,,,,,
2022-10-03,,,,,,,
2022-10-04,,,,,,,
2022-10-05,,,,,,,
2022-10-06,,,,,,,
2022-10-07,,,,,,,
2022-10-08,,,,,,,
2022-10-09,,,,,,,
2022-10-10,,,,,,,
2022-10-11,,,,,,,
2022-10-12,,,,,,,
2022-10-13,,,,,,,
2022-10-14,,,,,,,
2022-10-15,,,,,,,
2022-10-16,,,,,,,
2022-10-17,,,,,,,
2022-10-18,,,,,,,
2022-10-19,,,,,,,
2022-10-20,,,,,,,
2022-10-21,,,,,,,
2022-10-22,,,,,,,
2022-10-23,,,,,,,
2022-10-24,,,,,,,
2022-10-25,,,,,,,
2022-10-26,,,,,,,
2022-10-27,,,,,,,
2022-10-28,,,,,,,
2022-10-29,,,,,,,
2022-10-30,,,,,,,
2022-10-31,,,,,,,
2022-11-01,,,,,,,
2022-11-02,,,,,,,
2022-11-03,,,,,,,
2022-11-04,,,,,,,
2022-11-05,,,,,,,
2022-11-06,,,,,,,
2022-11-07,,,,,,,
2022-11-08,,,,,,,
2022-11-09,,,,,,,
2022-11-10,,,,,,,
2022-11-11,,,,,,,
2022-11-12,,,,,,,
2022-11-13,,,,,,,
2022-11-14,,,,,,,
2022-11-15,,,,,,,
2022-11-16,,,,,,,
2022-11-17,,,,,,,
2022-11-18,,,,,,,
2022-11-19,,,,,,,
2022-11-20,,,,,,,
2022-11-21,,,,,,,
2022-11-22,,,,,,,
2022-11-23,,,,,,,
2022-11-24,,,,,,,
2022-11-25,,,,,,,
2022-11-26,,,,,,,
2022-11-27,,,,,,,
2022-11-28,,,,,,,
2022-11-29,,,,,,,
2022-11-30,,,,,,,
2022-12-01,,,,,,,
2022-12-02,,,,,,,
2022-12-03,,,,,,,
2022-12-04,,,,,,,
2022-12-05,,,,,,,
2022-12-06,,,,,,,
2022-12-07,,,,,,,
2022-12-08,,,,,,,
2022-12-09,,,,,,,
2022-12-10,,,,,,,
2022-12-11,,,,,,,
2022-12-12,,,,,,,
2022-12-13,,,,,,,
2022-12-14,,,,,,,
2022-12-15,,,,,,,
2022-12-16,,,,,,,
2022-12-17,,,,,,,
2022-12-18,,,,,,,
2022-12-19,,,,,,,
2022-12-20,,,,,,,
2022-12-21,,,,,,,
2022-12-22,,,,,,,
2022-12-23,,,,,,,
2022-12-24,,,,,,,
2022-12-25,,,,,,,
2022-12-26,,,,,,,
2022-12-27,,,,,,,
2022-12-28,,,,,,,
2022-12-29,,,,,,,
2022-12-30,,,,,,,
2022-12-31,,,,,,,
2023-01-01,,,,,,,
2023-01-02,,,,,,,
2023-01-03,,,,,,,
2023-01-04,,,,,,,
2023-01-05,,,,,,,
2023-01-06,,,,,,,
2023-01-07,,,,,,,
2023-01-08,,,,,,,
2023-01-09,,,,,,,
2023-01-10,,,,,,,
2023-01-11,,,,,,,
2023-01-12,,,,,,,
2023-01-13,,,,,,,
2023-01-14,,,,,,,
2023-01-15,,,,,,,
2023-01-16,,,,,,,
2023-01-17,0.5301263582887508,0.31280425425803793,0.29843209217878125,0.3922336529819573,0.484755874189956,0.4559795349207323,0.4663213403467933
2023-01-18,0.5296003697904945,0.3057400787197776,0.2984895174645497,0.3802875557580642,0.46720467462186815,0.4239668328963342,0.4660344004143804
2023-01-19,0.529289637245916,0.3292744347694759,0.3033204196647137,0.3787970555823368,0.4890248880774828,0.5048416726877334,0.508148021533029
2023-01-20,0.5289600115289789,0.3264249702304686,0.2988847697552177,0.3747985126314204,0.4884124223731301,0.4765442078995527,0.47812077115604634
2023-01-21,0.531171645935593,0.39008503320586035,0.3234742791519,0.4668888179189668,0.7143612609033582,0.563602799760261,0.46936985286704225
2023-01-22,0.5306618269971654,0.3901761375276975,0.3209933320704469,0.45299716530635664,0.5361768251143469,0.48009441252883744,0.46689043549591575
2023-01-23,0.5301415616543144,0.39345967413463384,0.3186788333047832,0.43930561936137913,0.48118471497424825,0.44023219337441466,0.466516458800875
2023-01-24,0.5296707941841843,0.38954625477089033,0.31854912972463817,0.4274945869430846,0.4713097979020783,0.4318361425072556,0.46608907037126995
2023-01-25,0.5292208978080112,0.4029743167870915,0.32010470073623304,0.4175387876948447,0.47270386636032835,0.462804248617106,0.480030890136175
2023-01-26,0.5289313723099864,0.3985521340139557,0.32116869759903777,0.41317832739260874,0.48876394384935756,0.46145556491414597,0.4699153781412107
2023-01-27,0.5284193763034555,0.4035723920993034,0.3214426073964991,0.4008467930511517,0.4688964256946941,0.4361535653686216,0.4678990078984224
2023-01-28,0.5279087987572152,0.40269630000937673,0.31893717442768704,0.3887128019930421,0.46344444907044485,0.4180197914153536,0.46647691582332096
2023-01-29,0.5273967281641545,0.4068620016869916,0.318930963011506,0.37695650655439245,0.4620155718694238,0.4084528970576457,0.46626378552669095
2023-01-30,0.527392236369986,0.4096130441350349,0.3138025496930682,0.38642832339612393,0.5164257009702596,0.456738214573075,0.46601827735625323
2023-01-31,0.5275672397873455,0.45530666620752597,0.3251979044125825,0.40462858255667855,0.5514399517357655,0.6058489612627882,0.5896450390931559
2023-02-01,0.5271471947695205,0.4522646676585752,0.32558050926417387,0.39559387355696385,0.4943390285897817,0.5098319522785787,0.5036346553203451
2023-02-02,0.526951717591906,0.43116843178075476,0.32641777509526676,0.39591922047582184,0.5035996311794082,0.4880862679031113,0.4767818764995816
2023-02-03,0.5264894259882364,0.40610240710391715,0.3277841786120806,0.38607195945317085,0.4779390719303,0.4766473853464585,0.47814741895296675
2023-02-04,0.5259839302133342,0.3705148145877432,0.3266640628187135,0.3743292916450101,0.46549450823572963,0.43298540521325907,0.46938606758992457
2023-02-05,0.5254880757219608,0.37068835329316735,0.3273760588965816,0.3634481324993897,0.46360961378821836,0.4281574452798106,0.4686657676739979
2023-02-06,0.5250931595491547,0.37729098396751115,0.3279106216693068,0.35790973810661686,0.47566077099086035,0.4758716128421521,0.48858387056761327
2023-02-07,0.5246190138033712,0.3797336848430344,0.3270659871353053,0.3485838449457117,0.4629985307798225,0.4581460552935572,0.4729320878576982
2023-02-08,0.5243605169992525,0.37169178483470294,0.3281893438678927,0.34876868858364574,0.48445109525116936,0.4578899301530845,0.4637028412508724
2023-02-09,0.5239410801568226,0.37484455921690363,0.3303789894642715,0.3424763725778772,0.4733405015228532,0.4760011337816628,0.47798146315102563
2023-02-10,0.5244942534732995,0.3182513058405918,0.3481823111135741,0.38251670932866866,0.5799512146330763,0.6645365106342755,0.6495739164660019
2023-02-11,0.5240182880687203,0.31803919739524705,0.3490270380160798,0.37206819753672504,0.4916433410934905,0.535554554376132,0.5269964599509764
2023-02-12,0.5235783454672166,0.32110815895265693,0.34389301227676156,0.3628848217202752,0.4700867385599243,0.47327521394344824,0.48048937041324324
2023-02-13,0.5230879433588755,0.3184489561202698,0.3442163581119609,0.3521367783163223,0.45961320614636214,0.4394613157697509,0.4670006915010023
2023-02-14,0.5225966539185549,0.31611255991901205,0.3389709704949319,0.34142774188471076,0.45626152200473774,0.41467137386160025,0.46193699496281954
2023-02-15,0.5222831386568664,0.31396066975336734,0.32682042831256675,0.3391068312581732,0.4756234761103632,0.4325441441244986,0.46044184031183094
2023-02-16,0.5258398017918001,0.4622849987636867,0.37414507750908094,0.4914004543860766,0.8215729342921051,0.5888505666482194,0.46000256269348916
2023-02-17,0.5256854112923206,0.4754333070433291,0.3804342421680246,0.4888465230331308,0.6022573541530204,0.5873874589658815,0.528001162637158
2023-02-18,0.5259317378796048,0.49411213881674815,0.38302853195028935,0.4986791520025411,0.5732494519368496,0.5391711981205498,0.4808126441206789
2023-02-19,0.5254471453852855,0.48242796201911653,0.3804956106939525,0.48363574027033357,0.48707703340688285,0.46457762520417484,0.4660728613297428
2023-02-20,0.5250227300671502,0.4608286193358887,0.38179450792807323,0.47150694235300294,0.47216767153697103,0.4733183210185925,0.47572516256520886
2023-02-21,0.5247365110209223,0.4636582623753904,0.38269804368717686,0.46411757350053295,0.4830413943834351,0.4620874077817095,0.4645397374369451
2023-02-22,0.5243521347157136,0.46151277116554046,0.38509442572840114,0.4541639471448423,0.47604007079283833,0.48616186262710365,0.48310653665101216
2023-02-23,0.5239062313635088,0.46134041350305793,0.38654944190953433,0.44208617112139176,0.46608845678215993,0.47141218582362304,0.4754504115044197
2023-02-24,0.5234601952557509,0.46318752355654713,0.38776237682465603,0.43037084865297615,0.46345877242609324,0.46433069673142163,0.4729138277305826
2023-02-25,0.5233922177857493,0.47722759394791675,0.3952870268505883,0.43463924949722943,0.5102167114393181,0.5628301877512205,0.5463003153952168
2023-02-26,0.5229100735072625,0.4733989446949025,0.393841890232147,0.4214156434601836,0.46919112866677404,0.4694623096516265,0.48679202199235294
2023-02-27,0.5225632483539332,0.47519207394304885,0.39310146027488335,0.41367448876284146,0.474215925493622,0.45393113655476724,0.46788907094632215
2023-02-28,0.5220839742705039,0.4693751705787094,0.3934261188194775,0.40112221126801345,0.4622889305496968,0.42588432232789863,0.4637579672049844
2023-03-01,0.5217082105399112,0.47027069363364127,0.3956514279699886,0.3938253121660424,0.47287383487724033,0.4743043176033892,0.48336629697282596
2023-03-02,0.5214507872376853,0.43680383558222025,0.3964736427144008,0.3909280124239595,0.4862494262157594,0.46683353394538085,0.46789882768054636
2023-03-03,0.5209935421695695,0.4366389576505461,0.39742834468252497,0.3800614411530721,0.46725159162305413,0.4527375963219394,0.4674870275915872
2023-03-04,0.5214769386884411,0.47287543962743595,0.4122532027703163,0.41201208753450497,0.5696677504982115,0.6474566877937856,0.630867209906068
2023-03-05,0.5210027201152247,0.4725257891876152,0.4122473796842856,0.399463833894977,0.48427792893769855,0.5022448342078698,0.5159732420361063
2023-03-06,0.5205385393293591,0.47256720952665965,0.41208211252203997,0.38755819620432963,0.4647695989449977,0.45026580774475916,0.4778150246267335
2023-03-07,0.5200669523247113,0.46824938858461906,0.4120000536211127,0.3757529365087264,0.45974874012898725,0.4215766370960263,0.4662549814894294
2023-03-08,0.5196286167601574,0.31421241427020546,0.4130471971568714,0.36612031855457844,0.46339996116179477,0.4427300256396799,0.46998362902675145
2023-03-09,0.519366535227183,0.3091798587694058,0.4167622132650973,0.3656630400474967,0.4864222044259935,0.5115884174336134,0.5059996057575585
2023-03-10,0.5205497810364461,0.3290893361146686,0.4386082354649147,0.4295899730802434,0.6411167274055991,0.7391562239802107,0.73792538328416
2023-03-11,0.5201070277347282,0.3259370215266759,0.43924227838899976,0.41785326727975425,0.5066380093295895,0.5586304602436614,0.5603517230519437
2023-03-12,0.5198703430729825,0.34452313493368614,0.4403520931004066,0.41409888323690686,0.49453110358760266,0.500134203270861,0.4919897045519125
2023-03-13,0.5218503957197256,0.44224109520642074,0.4611828461697815,0.4944707277282915,0.7032239480609365,0.5687911954029712,0.47047839181141693
2023-03-14,0.525067077840077,0.5579849057449866,0.48538500966010373,0.5975931229591772,0.8330708839507779,0.6183763047493209,0.4641028380228058
2023-03-15,0.5248305505327319,0.5621530647301793,0.4754159666755587,0.5860551251893658,0.5824574542608949,0.5228079483074416,0.4622516972435754
2023-03-16,0.5244507589010274,0.5638029307429906,0.4655736363265808,0.57117006662098,0.4988338123851587,0.5057176775858331,0.4803374085133294
2023-03-17,0.5243280134320583,0.5572150139319418,0.46806258269270723,0.5641968491863646,0.5071581143167175,0.48914164342524646,0.4670002745153959
2023-03-18,0.5277142562835274,0.6418638646959511,0.5036596593927183,0.6592884632851856,0.8188284252218947,0.6067355066075355,0.4630907532095494
2023-03-19,0.5273586035616243,0.6476284086839601,0.5054849206014325,0.6424949247830081,0.5676911064296197,0.5417295193046878,0.48519892343646476
2023-03-20,0.527574510283972,0.6564739388020528,0.507407896132811,0.6418431019042484,0.5600899923239863,0.5215416364010046,0.4684443964020724
2023-03-21,0.527144883115681,0.6535998766307834,0.5075417090149679,0.6234275061793719,0.48731497722647227,0.4912294834280003,0.4795585777577873
2023-03-22,0.5267757208794365,0.6524329654740918,0.4864374893164957,0.6071374300866792,0.4809753410764667,0.4664159583799612,0.4706570790166693
2023-03-23,0.5267023160653526,0.6657324063661149,0.4916639110342727,0.600717060062961,0.5176741409417143,0.5586994182656099,0.5389078473309649
2023-03-24,0.5268453136703413,0.6390631511880916,0.49641999016797517,0.6004798346756549,0.5456584601740639,0.5380776825138524,0.4985622952971147
2023-03-25,0.5267435893048703,0.6552308279194339,0.5010919508195736,0.5935084896826884,0.524728616561309,0.5726789761491533,0.5414647185931213
2023-03-26,0.5262822212019034,0.6559080750227655,0.4999695641935669,0.5754278652679681,0.4758824916392579,0.47146242734079197,0.48878167505274617
2023-03-27,0.5259659879109435,0.6549708430679934,0.49954581410663734,0.5623548075296826,0.4851369246780367,0.4656723123829687,0.474394131041543
2023-03-28,0.5258868581026322,0.6682666621646078,0.5042395834533402,0.5579910227603746,0.5174064224080152,0.5569958279801996,0.5385821041502427
2023-03-29,0.5254395515825029,0.6570732762398568,0.5042422177738258,0.5413042940487193,0.4757643971902202,0.47357008274475026,0.4880016835989082
2023-03-30,0.5256492357067049,0.6007595289947077,0.5095668586882969,0.5469569763547562,0.5467375924615522,0.51413921039721,0.483728592429365
2023-03-31,0.5252410551885912,0.6022412244744705,0.5070201932835611,0.5320504250609568,0.4864979080908416,0.48584643440880754,0.4800266404228557
2023-04-01,0.5248949544101579,0.6019824856993293,0.4998032249052928,0.5195205216286852,0.4827223314616697,0.46662481162788294,0.4710798603587809
2023-04-02,0.5244424397825689,0.5655416938818253,0.4996269873908066,0.5037780194677355,0.46882092393211405,0.4317403894585675,0.4667419240520084
2023-04-03,0.5240104337761514,0.486625363595706,0.4981499973125918,0.48928975410951664,0.4692360958609191,0.43734739295392433,0.4694502418094682
2023-04-04,0.5236416984417384,0.4897622732610176,0.4986794761816901,0.4777261285210389,0.4777030218134764,0.4708008216799362,0.48271775640208486
2023-04-05,0.5232714568382438,0.48380988490150756,0.4990415156260553,0.46618061060474353,0.4776916188967212,0.4558019735033506,0.4713780869642659
2023-04-06,0.522821912313968,0.47847537795386424,0.49877032230099755,0.45198093504026104,0.46766997668364507,0.42239264760745526,0.46642526187416106
2023-04-07,0.5223813854776446,0.3471687119983763,0.49738975076223346,0.4386008392138267,0.4672382216928722,0.42174205885380045,0.4666865018000772
2023-04-08,0.5219401501603399,0.3413403339158816,0.49701220300416404,0.4255554271707053,0.4669046101772799,0.41920598055499075,0.46638107368591575
2023-04-09,0.5214943863851037,0.3107374351112266,0.49558505193865027,0.41260259973770613,0.4659017162447033,0.40647018039240357,0.46491647836604166
2023-04-10,0.5211314895675982,0.3121826159183222,0.4946631940589811,0.40360820171170764,0.47604758012431775,0.42891167539851005,0.4660047553408365
2023-04-11,0.521592172738477,0.34883993522993134,0.48976601972429507,0.4312078092006871,0.5684204055714459,0.5158007190614745,0.47847417048225466
2023-04-12,0.521310523620521,0.32982641137367796,0.4898037198596146,0.42498218826975764,0.5019041864501578,0.4832396873017196,0.466753176438372
2023-04-13,0.5208714059378198,0.30792024066114226,0.4900872105891077,0.4122204726820348,0.4658247691657916,0.43769799065804754,0.459933952252367
2023-04-14,0.5204618187724789,0.2825439533126387,0.4897090906017567,0.40106797196991817,0.46107430592916027,0.4271704858647222,0.4577448511654991
2023-04-15,0.5200251126664903,0.2820438375464577,0.48963886954437613,0.3890076945488894,0.45632323465148755,0.40967067824767056,0.4563710650800961
2023-04-16,0.5195971657443488,0.28024707494209894,0.48945392161788176,0.3777594424244681,0.45675933405070585,0.41472075422086313,0.458444822755628
2023-04-17,0.5191588759613024,0.24945333874716216,0.4536454527800138,0.3662515894906061,0.4549756667560525,0.3973805167879957,0.45649960495481884
2023-04-18,0.5190533288284692,0.2777465742750556,0.45381510430139627,0.3722276804844893,0.5010749045195333,0.5266010656855621,0.5231297195049234
2023-04-19,0.519049975394738,0.2663438955095967,0.4515333119438385,0.38218104464472286,0.5207342741437468,0.5149867600325791,0.48778797756876763
2023-04-20,0.5196973543040575,0.3282100585558897,0.4657706421160028,0.4217625151874515,0.6036400482264729,0.6784287117193238,0.6570138724351442
2023-04-21,0.519419789835809,0.3321939303425138,0.4670599260891827,0.4162494363075581,0.512346950736272,0.573272385927499,0.5554315482265372
2023-04-22,0.5194534663839443,0.3536143534386087,0.47170743370098855,0.42504722956365176,0.5310346955059626,0.6004882485521549,0.576825786731703
2023-04-23,0.5191845939283636,0.36100363447204276,0.47161313701053736,0.4192421950763269,0.49333813143520244,0.5151542400080407,0.49988457332598607
2023-04-24,0.518776288183325,0.35840654088445206,0.4714005291836319,0.4076974362050124,0.4671454442014883,0.4703820180274944,0.4752313063311931
